Initial max|⟨B·n⟩ᵢ|: 0.11594103759828579
J=7.8e-01, Jf=8.9e-02, ⟨B·n⟩=2.9e-02, Len=sum([14.6, 15.4, 14.5, 14.8, 15.3, 14.5])=89.1, ϰ=[8.5, 18.1, 4.2, 6.1, 12.1, 7.5], ∫ϰ²/L=[0.9, 1.5, 0.5, 1.2, 1.4, 0.7], C-C-Sep=0.42, C-S-Sep=0.07, ║∇J║=5.6e+01
J=3.2e-01, Jf=1.0e-01, ⟨B·n⟩=3.1e-02, Len=sum([14.7, 15.2, 14.5, 14.7, 15.2, 14.6])=88.8, ϰ=[8.7, 13.0, 4.8, 6.0, 13.1, 8.9], ∫ϰ²/L=[0.9, 1.1, 0.5, 1.0, 1.1, 0.8], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=3.8e-01
J=4.5e-01, Jf=9.3e-02, ⟨B·n⟩=3.0e-02, Len=sum([14.6, 15.3, 14.5, 14.7, 15.3, 14.5])=89.0, ϰ=[8.6, 16.1, 4.4, 6.0, 12.2, 7.9], ∫ϰ²/L=[0.9, 1.3, 0.5, 1.1, 1.4, 0.7], C-C-Sep=0.44, C-S-Sep=0.08, ║∇J║=2.4e+01
J=3.2e-01, Jf=1.0e-01, ⟨B·n⟩=3.1e-02, Len=sum([14.7, 15.2, 14.5, 14.7, 15.2, 14.6])=88.8, ϰ=[8.7, 13.2, 4.8, 6.0, 13.1, 8.8], ∫ϰ²/L=[0.9, 1.1, 0.5, 1.1, 1.1, 0.8], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=4.6e-01
J=3.1e-01, Jf=8.6e-02, ⟨B·n⟩=2.9e-02, Len=sum([14.7, 15.3, 14.5, 14.7, 15.2, 14.6])=89.0, ϰ=[10.0, 19.9, 5.4, 6.3, 13.9, 8.9], ∫ϰ²/L=[1.0, 1.7, 0.6, 1.2, 1.6, 0.8], C-C-Sep=0.48, C-S-Sep=0.07, ║∇J║=3.1e+00
J=3.4e-01, Jf=7.0e-02, ⟨B·n⟩=2.6e-02, Len=sum([14.8, 15.3, 14.6, 14.7, 15.3, 14.7])=89.4, ϰ=[13.7, 43.4, 7.6, 8.6, 18.0, 7.3], ∫ϰ²/L=[1.4, 3.9, 0.8, 1.4, 2.4, 0.9], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=4.8e+00
J=3.1e-01, Jf=8.0e-02, ⟨B·n⟩=2.8e-02, Len=sum([14.7, 15.3, 14.5, 14.7, 15.3, 14.6])=89.1, ϰ=[11.2, 25.6, 6.1, 7.0, 15.7, 8.8], ∫ϰ²/L=[1.1, 2.2, 0.7, 1.3, 1.9, 0.8], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=3.0e+00
J=3.1e-01, Jf=7.5e-02, ⟨B·n⟩=2.7e-02, Len=sum([14.7, 15.3, 14.6, 14.7, 15.3, 14.6])=89.2, ϰ=[11.2, 29.7, 6.1, 6.6, 15.3, 7.2], ∫ϰ²/L=[1.1, 2.5, 0.7, 1.3, 2.0, 0.8], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=2.5e+00
J=3.0e-01, Jf=8.2e-02, ⟨B·n⟩=2.8e-02, Len=sum([14.7, 15.3, 14.5, 14.7, 15.2, 14.6])=89.0, ϰ=[10.0, 21.6, 5.7, 6.6, 14.0, 7.1], ∫ϰ²/L=[1.0, 1.8, 0.6, 1.2, 1.7, 0.7], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=3.3e-01
J=3.0e-01, Jf=7.8e-02, ⟨B·n⟩=2.7e-02, Len=sum([14.7, 15.3, 14.6, 14.7, 15.3, 14.6])=89.1, ϰ=[10.2, 24.7, 5.8, 6.5, 14.5, 6.4], ∫ϰ²/L=[1.0, 2.1, 0.7, 1.2, 1.8, 0.7], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=4.8e-01
